age,education,default,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_married,marital_single,y
38,6,0,1,0,0,5,3,2,0,0,-1.8,92.89299999999999,-46.2,1.281,5099.1,0,0,0,0,0,0,0,0,1,0,0,1,0
36,7,0,0,0,0,11,1,1,0,0,-0.1,93.2,-42.0,4.191,5195.8,0,0,0,0,0,1,0,0,0,0,0,1,0
39,6,0,0,0,1,10,4,1,0,0,-0.1,93.79799999999999,-40.4,4.921,5195.8,0,0,0,0,0,0,0,0,1,0,1,0,1
44,7,0,0,0,0,8,2,2,2,-1,-2.9,92.20100000000001,-31.4,0.883,5076.2,0,0,0,1,0,0,0,0,0,0,1,0,1
32,6,0,1,1,0,5,4,1,0,0,-1.8,92.89299999999999,-46.2,1.327,5099.1,0,0,0,0,0,0,0,0,0,0,0,1,1
43,6,0,1,0,0,7,4,1,0,0,-1.7,94.215,-40.3,0.884,4991.6,0,0,0,0,0,0,0,0,1,0,1,0,1
25,1,0,0,0,0,7,4,1,0,0,1.4,93.91799999999999,-42.7,4.963,5228.1,1,0,0,0,0,0,0,0,0,0,1,0,0
43,4,0,1,1,0,7,1,1,0,0,1.4,93.91799999999999,-42.7,4.96,5228.1,0,0,0,0,0,0,1,0,0,0,1,0,1
39,7,0,1,0,0,5,5,1,0,0,-1.8,92.89299999999999,-46.2,1.2590000000000001,5099.1,0,0,0,0,0,0,0,0,1,0,0,1,0
33,1,0,1,1,1,6,3,4,0,0,1.4,94.465,-41.8,4.864,5228.1,1,0,0,0,0,0,0,0,0,0,1,0,0
36,4,0,1,1,0,9,3,3,0,0,-3.4,92.37899999999999,-29.8,0.7809999999999999,5017.5,0,0,0,0,0,0,1,0,0,0,1,0,1
57,7,0,1,0,0,8,2,1,1,-1,-2.9,92.20100000000001,-31.4,0.883,5076.2,0,0,0,0,0,0,0,0,0,0,1,0,1
33,4,0,1,0,1,5,5,5,0,0,1.1,93.994,-36.4,4.855,5191.0,0,0,0,0,0,0,1,0,0,0,1,0,0
56,7,0,1,0,0,11,4,1,0,0,-0.1,93.2,-42.0,4.0760000000000005,5195.8,0,0,0,1,0,0,0,0,0,0,0,0,0
29,4,0,0,0,0,5,5,1,0,0,-1.8,92.89299999999999,-46.2,1.25,5099.1,1,0,0,0,0,0,0,0,0,0,0,0,1
48,3,0,1,0,0,4,3,3,2,-1,-1.8,93.075,-47.1,1.445,5099.1,1,0,0,0,0,0,0,0,0,0,1,0,1
62,6,0,1,1,0,8,5,2,1,-1,-2.9,92.20100000000001,-31.4,0.825,5076.2,0,0,0,0,1,0,0,0,0,0,1,0,1
